name,measurement_unit
абрикосовое варенье,г
абрикосовое пюре,г
абрикосовый джем,г
абрикосовый сок,стакан
абрикосы,г
абрикосы консервированные,г
авокадо,по вкусу
агава сироп,г
агар-агар,г
аграм,г
аджика,г
аджика зеленая,г
айва,по вкусу
айвовое пюре,г
айран,г
айсинг,г
акула стейки,г
алкоголь,стакан
алкоголь крепкий,ст. л.
алыча,г
альбухара,шт.
альмехи,г
амарантовая мука,г
ананасовый сироп,г
ананасовый сок,г
ананасы,г
ананасы вяленые,г
ананасы консервированные,по вкусу
анис,по вкусу
анис звездочки,г
анисовый ликер,мл
анис семена,г
анчоусы,г
апельсиновая вода,г
апельсиновая цедра,г
апельсиновая эссенция,ч. л.
апельсиновое варенье,г
апельсиновые цукаты,г
апельсиновый джем,г
апельсиновый джем с имбирем,г
апельсиновый ликер,г
апельсиновый сироп,стакан
апельсиновый сок,по вкусу
апельсиновый сок свежевыжатый,г
апельсиновый уксус,ст. л.
апельсиновый экстракт,ч. л.
апельсины,г
апельсины красные,шт.
апельсины крупные,шт.
арахис,г
арахис жареный,г
арахисовая паста,г
арахисовое масло,г
арахис соленый,г
арбузная мякоть,г
арбузы,г
аргановое масло,г
аришта,г
ароматизатор,г
"ароматизатор ""ананас""",по вкусу
"ароматизатор ""вишня""",капля
"ароматизатор ""малина""",капля
"ароматизатор ""ром""",г
артишоки,г
артишоки в масле,г
артишоки маринованные,г
аспирин,шт.
ассорти мясное,г
ассорти овощное,г
ассорти фруктовое,г
ассорти ягодное,г
аши,г
багет,г
багет вчерашний,г
багет мини,г
бадан,звездочка
бадьян,щепотка
базилик лимонный,г
базилик свежий,г
базилик сушеный,г
базилик тайский,горсть
базилик фиолетовый,г
баклажаны,по вкусу
баклажаны мини,г
баклажаны тайские,г
балык,г
бальзам,г
бальзамический крем,стакан
бальзамический соус,ст. л.
бальзамический уксус,стакан
бальзам рижский черный,ст. л.
бамия,г
банановое пюре,г
банановые чипсы,горсть
банановый зеленый сироп,мл
банановый ликер,мл
бананы,г
бананы мини,г
барабулька,г
бараний ливер,г
бараний окорок на косточке,кусок
бараний фарш,г
баранина,г
баранки,г
бараньи антрекоты,кг
бараньи голяшки,шт.
бараньи потроха,кг
бараньи ребрышки,шт.
баранья лопатка,кг
баранья нога,г
баранья печень,г
барбарис,г
барбарис вяленый,ст. л.
барбарис молотый,г
бастурма,г
батат,г
батон,г
батончики шоколадные,г
безе,г
бекон,по вкусу
бекон варено-копченый,г
бекон сырокопченый,г
белорыбица,г
бирнель,мл
бисквик смесь готовая,пакет
бисквит,г
бисквитная крошка,г
бисквитный корж,г
бисквитный рулет,г
бисквит шоколадный,г
бифштекс,шт.
блинная мука,г
блины готовые,г
блины овсяные,шт.
бобовые ростки,г
бобы,г
бобы мунг пророщенные,г
бобы тонка,шт.
ботарга,г
брезаола,г
бренди,г
брокколи замороженная,г
брокколи свежая,г
брусника замороженная,г
брусника свежая,г
брусника сушеная,г
брусничное варенье,г
брусничный соус,г
брынза,по вкусу
брынза сербская,г
брюква,г
буженина,г
бузина сироп,ст. л.
букет гарни,пучок
булгур,г
булка,кусок
булка белая,г
булка сдобная,г
булочки,г
булочки белые черствые,г
булочки бриошь,шт.
булочки вчерашние,шт.
булочки для гамбургеров,шт.
булочки зерновые,шт.
булочки ржаные,кусок
булочки с кунжутом,шт.
бульон,г
бульонные кубики,г
бурбон,г
Буррата,г
буряк,г
бусинки кондитерские,ч. л.
бусинки кондитерские серебряные,по вкусу
бычий хвост,г
ванилин,г
ваниль в стручках,г
ванильная настойка,ст. л.
ванильная эссенция,г
ванильный порошок,г
ванильный сироп,г
ванильный экстракт,по вкусу
варенье,г
васаби,г
вафельная крошка,г
вафельные коржи,г
вафельные трубочки,г
вафли,г
вафли шоколадные,г
вермишель,г
вермишель яичная,г
вермут,г
вермут белый,г
вермут сухой,г
ветчина,г
ветчина вареная,г
ветчина варено-копченая,кусок
ветчина копченая,г
ветчина пармская,г
ветчина сырокопченая,г
вешенки,г
винегрет,г
винный камень,щепотка
винный уксус,г
винный уксус белый,г
винный уксус красный,ч. л.
винный уксус на чесноке,ч. л.
винный уксус на эстрагоне,ст. л.
вино белое,по вкусу
вино белое полусладкое,г
вино белое полусухое,г
вино белое сладкое,г
вино белое столовое,стакан
вино белое сухое,г
